"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"MRPL27",-0.315251135237847,9.27795678459451e-05,0.000675908072870003,0.363151573466965,0.454285718730245,0.999381522347125,FALSE
"FYB2",-0.639559965687546,0.0123447457586171,0.0274201015069372,0.0185716745882662,0.0345104954895265,0.998948499557642,TRUE
"RNF135",-0.417506350086466,0.00111594723517701,0.0040551435143015,0.123865168579209,0.168792593442673,0.998672588844191,FALSE
"INTS6-AS1",-0.607506463880563,0.00978648672707701,0.0227097447741804,0.0291566540268176,0.0496599990388665,0.99861168131711,TRUE
"PCSK4",-0.549855961776933,0.00604032950799593,0.0152752191312854,0.0243180612915538,0.0402395664964929,0.998545327747342,TRUE
"PLPPR2",-0.422775380282708,0.00122718303399639,0.00434880835223277,0.257276711414293,0.348285465001705,0.998438907546916,FALSE
"CTIF",0.493142826888855,0.00333617930475641,0.00947042431715509,0.132780881185857,0.0914423437910405,0.997938896039398,FALSE
"HSCB",-0.43383289102498,0.00148097718579686,0.00500920698579908,0.0876576172250139,0.121917628977464,0.997915874484614,FALSE
"MUC3A",-0.725425623639444,0.0207345942071825,0.0421111521272532,0.245095972793845,0.411772708708607,0.997897574543071,TRUE
"TUSC2",-0.422430733054498,0.00122718303399639,0.00434880835223277,0.263075578627431,0.355971431102673,0.997624978406119,FALSE
"NUP62",-0.376559131960637,0.000509072918078457,0.00224243660687293,0.182488588036109,0.239896734286391,0.997610511414005,FALSE
"GDNF",0.515802895483998,0.00430200444959105,0.0116421392073871,0.017961626547377,0.00955646196337723,0.997545887758939,TRUE
"ICK",-0.439719091662185,0.00162525754625207,0.00538895571080034,0.135136809841294,0.186854890793125,0.997500730415201,FALSE
"TSPAN10",-0.532371415865284,0.00511526202312653,0.0133779022154705,0.0188765988289913,0.0317643574804846,0.99745746406903,TRUE
"AL731563.3",-0.455759811908689,0.00203444346107533,0.00647917649551795,0.00363968716326435,0.00870689823752703,0.997421319544949,FALSE
"LRRC45",-0.439524219831777,0.00162525754625207,0.00538895571080034,0.0925772225493612,0.129110819685878,0.997058664567128,FALSE
"MT1G",-0.939662827974156,0.0498636902105405,0.08696874974221,0.14772974348664,0.292538252524904,0.996640949827265,FALSE
"C15orf61",-0.52330136472997,0.0047025327633899,0.0124685002561062,0.149982462578229,0.219933253788229,0.996463018136751,TRUE
"ZBTB34",-0.421807668787145,0.00122718303399639,0.00434880835223277,0.0537802201784574,0.0754403020204778,0.996153531308108,FALSE
"UBR7",-0.358080096019334,0.000338194810029338,0.0016525849585213,0.106364637302403,0.139146775994351,0.996120175188089,FALSE
"CDCP1",-0.522830384304578,0.0047025327633899,0.0124685002561062,0.0628110498966157,0.0946128229823383,0.995566183907374,TRUE
"RGL3",-0.672494926226686,0.0154786024428386,0.0330907537833427,0.0380923921898375,0.0666509470018601,0.995489760352427,TRUE
"GAS8",-0.432687273865904,0.00148097718579686,0.00500920698579908,0.0992559263570342,0.13746768134991,0.995280690355483,FALSE
"C16orf87",-0.416031917635715,0.00111594723517701,0.0040551435143015,0.0409229903264687,0.0579441367164317,0.995145755605935,FALSE
"ANKRD2",0.615991534343365,0.0105976609378243,0.024239449991072,0.010473581238618,0.0033586289546069,0.99512030303688,TRUE
"SPATA1",-0.484526817478494,0.00305662922817479,0.00885434958794354,0.0149351078510067,0.0248873800867472,0.994657647976105,FALSE
"PPP1R37",-0.432321580413444,0.00148097718579686,0.00500920698579908,0.11243239778823,0.155210679920383,0.994439510931436,FALSE
"CNBP",-0.334147680078719,0.000179363785289462,0.00105878435469078,0.971402188839505,1.22718742454839,0.994153666566994,FALSE
"ZXDB",-0.498618495221842,0.00363882622462475,0.0101489294647044,0.0538395177025886,0.0801962996568465,0.994035742947159,FALSE
"ADAR",-0.370425927951154,0.000460072727009042,0.00207917746268059,0.527034841719144,0.684243429608408,0.993522508135012,FALSE
"VSTM2L",-0.979148979594872,0.0565165373679619,0.096800620632613,0.184560112754642,0.373536784039482,0.992976382664979,FALSE
"GCAT",-0.505771416162402,0.00396623864022392,0.0108917024493137,0.226492001538312,0.325790823954985,0.992780853043724,TRUE
"MED17",-0.537921609498317,0.00556045993213741,0.0143003478193615,0.09027138067819,0.135581950834702,0.992278925520527,TRUE
"SLC35B3",-0.404145992740926,0.000920913394288009,0.00350794385712574,0.100412498783574,0.136109449717628,0.99215714032435,FALSE
"UPK3A",-0.635205080886213,0.0123447457586171,0.0274201015069372,0.297968218717966,0.468323462087852,0.992146470238372,TRUE
"DESI1",-0.490219784769607,0.00333617930475641,0.00947042431715509,0.151345448400601,0.216635311947236,0.992023738672187,FALSE
"LUM",0.546083085167076,0.00604032950799593,0.0152752191312854,1.38956971795638,0.94853317495478,0.991693736471029,TRUE
"USPL1",-0.419661407731613,0.00122718303399639,0.00434880835223277,0.0972863531653378,0.133507683767838,0.991084857389199,FALSE
"A4GALT",0.52017864871438,0.0047025327633899,0.0124685002561062,0.213750710330169,0.146018122139896,0.99051678670033,TRUE
"ZNF91",-0.448969865182907,0.00195334827302939,0.00622352531144119,0.17836706521787,0.247133326363462,0.990411153067225,FALSE
"ARID3B",-0.44256250194016,0.00178237553750544,0.00578584758350899,0.0467232245719219,0.0670877730008957,0.990292463838434,FALSE
"ARHGEF3",-0.504428240613243,0.00396623864022392,0.0108917024493137,0.102193704145114,0.149153618757771,0.990144328074402,TRUE
"EDARADD",-0.623313255554913,0.0114328293084401,0.0258068914808272,0.0271911408484103,0.0472895600691339,0.989986194261708,TRUE
"DCK",-0.430149584999119,0.00148097718579686,0.00500920698579908,0.0790834217326967,0.110028621353252,0.989443419698839,FALSE
"RPAP1",-0.364507087500998,0.000415502152508517,0.00193072803341354,0.076464587023288,0.1013181136846,0.989373895624428,FALSE
"NUP107",-0.468053788186448,0.00256061528714459,0.00769555800200357,0.113923500714951,0.161416215717036,0.989353321098547,FALSE
"GUCY2D",-0.541350599566589,0.00579362337549924,0.0148924130634334,0.00902778655025808,0.0176917906440018,0.989066452877504,TRUE
"NUFIP2",-0.325260077030882,0.000144382559315278,0.000910457312236543,0.316368085316986,0.398903401429823,0.989031460557479,FALSE
"SLC44A2",-0.311974932751758,9.27795678459451e-05,0.000675908072870003,0.425534511721453,0.530675121889438,0.988995592331062,FALSE
"SESN3",-0.461007156617647,0.00234127260749354,0.00716279099966678,0.294259197131048,0.408813524151156,0.988822419630399,FALSE
"LRRN1",-0.790282569708064,0.0294408844120828,0.0560942690175143,0.0755259976561334,0.137909785565135,0.988707908294904,FALSE
"MED18",-0.467738640909212,0.00256061528714459,0.00769555800200357,0.0312132806768477,0.0469954973653244,0.988687175426323,FALSE
"LIAS",-0.397652140254218,0.000835716821727253,0.00326381881433842,0.0588220293291158,0.0806635450360944,0.988672160820037,FALSE
"AL121832.2",-0.481587098536161,0.00305662922817479,0.00885434958794354,0.0446429068460506,0.0662967355793522,0.988622865538037,FALSE
